Author_id	Name
0	
1	 Ail
2	 Alan (translator) Bergman
3	 And Tada
4	 And Vogel
5	 Baroness Orczy
6	 Bill; Lee
7	 D.D.
8	 Dan Gardiner
9	 Donald; Bear
10	 Dr. Hessayon
11	 Earl Spencer
12	 Emilie Dailey
13	 Etal. Lademan
14	 Etc. Bronte
15	 Florence Atwater
16	 Gary Rubin
17	 Greg; Stirling
18	 Hiaasen
19	 J Corrie; Sherrill
20	 Jim. Screenplay Based On The B
21	 Joan (editor) Pullman
22	 Joni Eareckson Estes
23	 Joseph Murph
24	 Jr. Buckley
25	 Jr. Manske
26	 Jr. Miller
27	 Jr. Putnam
28	 Jr. Smith
29	 K. C. (editor) - Intro By Clive Bar
30	 Levine Young
31	 Long
32	 M.D. Epstein
33	 M.D. Evans
34	 M.D. Levinson
35	 M.D. McDougall
36	 Malvina (Editor) Sewell
37	 Mark Victor Canfield
38	 Michael Gelb
39	 Michael; Hickman
40	 Owen (editor) Cuthbert
41	 Ph.D. Gannon
42	 Ph.D. Heinowitz
43	 Ph.D. Vivian Sch
44	 Phillip C. Mcgraw
45	 Rev.
46	 Richard Henry Dana
47	 Robert H Waterman
48	 Ronald Dobson
49	 S.J. Reiser
50	 Saint More
51	 Sari Bauman
52	 Sir
53	 Sir Doyle
54	 Sr. Scott
55	 Tracy; Copyr
56	 W.G. Moore Moore
57	 Wendi; Schumacher
58	 With James Southwood Saunders
59	(None)
60	(none)
61	A A Milne
62	A E Van Vogt
63	A First Book
64	A Oswald
65	A Redemptorist Pastoral Publication
66	A'Lelia Bundles
67	A. A. Attanasio
68	A. A. Fair
69	A. A. Milne
70	A. Alvarez
71	A. B. C. Whipple
72	A. B. Guthrie Jr.
73	A. C. Bhaktivedanta Swami Prabhupada
74	A. C. Bhaktivedanta Swami Prabhupâda
75	A. C. Crispin
76	A. D. Hunt
77	A. Delaney
78	A. E. Parker
79	A. Elizabeth Delany
80	A. Grove Day
81	A. J McClane
82	A. J. Hill
83	A. J. Holt
84	A. J. Orde
85	A. J. Russell
86	A. Jay Abrams
87	A. L. Haskett
88	A. L. Kennedy
89	A. Lyons
90	A. M. Monson
91	A. Manette Ansay
92	A. Mousnier-Lompré
93	A. N. Roquelaure
94	A. R. Braunmuller
95	A. Roger Merrill
96	A. Scott Berg
97	A. V. Sellwood
98	A. Walton Litz
99	A.A. Milne
100	A.C. Bhaktivedanta
101	A.C. Crispin
102	A.E.W. Mason
103	A.G. Mojtabai
104	A.J. Jacobs
105	A.J. Wood
