Author_id,ISBN
9938,0195153445
12766,0195153445
9938,0195153448
12766,0195153448
12429,0002005018
1974,0060973129
5236,0374157065
4266,0393045218
3910,0393045218
577,0399135782
12696,0425176428
13478,0671870432
13805,0671870432
3129,0679425608
738,074322678X
3092,0771074670
8426,080652121X
13582,0887841740
6145,1552041778
6196,1558746218
9954,1558746218
6924,1558746218
9230,1567407781
7440,1567407781
12755,1575663937
7927,1881320189
7411,0440234743
14836,0452264464
14546,0609804618
13462,0609804618
10714,0609804618
2216,1841721522
6582,1841721522
12009,1841721522
6146,1879384493
10196,0061076031
12949,0439095026
8232,0689821166
8054,0689821166
1500,0689821166
12397,0971880107
10449,0345402871
10449,0345417623
1889,0684823802
1066,0375759778
13941,0425163091
10855,3404921038
10576,3404921038
691,3404921038
4136,3442353866
2961,3442353866
2352,3442410665
12513,3442446937
8572,3442446937
9945,0375406328
5584,0446310786
8721,0449005615
1206,0060168013
7117,038078243X
6542,055321215X
3610,067176537X
877,0061099686
3332,0553582909
10120,0671888587
3332,0553582747
11482,0425182908
6164,042518630X
9507,0440223571
8725,0812523873
14709,0842342702
6967,0842342702
7411,0440225701
1386,0060914068
12838,0156047624
5534,0245542957
9913,0380715899
11275,0553280333
6348,0553280333
13863,0553280333
2572,0961769947
3193,0964778319
8690,0671623249
14302,0679810307
14302,0679865691
10646,2070423204
1958,0345260317
311,0394743741
883,042511774X
577,0804106304
7699,1853262404
3419,0312970242
10021,0312970242
14610,1853260053
2301,1414035004
13627,1414035004
14993,0060938412
1344,0140067477
8721,0345465083
11105,0451625889
5466,1558531025
12647,0441783589
12000,0394895894
0,1569871213
10572,0375410538
13358,0966986105
11360,087113375X
10708,0340767936
13855,0743403843
13420,0060930365
2940,0060177586
3665,0071416331
3673,0071416331
3157,0375509038
9281,0553062042
6165,0316769487
7297,0679429220
10120,0671867156
6900,0312252617
6563,0312261594
10591,0316748641
13730,0316973742
15361,0385235941
12873,0446677450
13551,0446677450
8373,0451166892
7375,0553347594
12727,0671621009
9278,067976397X
11400,0684822733
489,0684822733
10796,0786868716
10509,0671864769
13045,0671864769
5271,0671521519
11048,0440222303
6136,0440222303
3243,0312953453
13342,0446608653
6447,0446612545
11854,0446612545
13342,0446612618
14115,0451208080
6047,0553584383
2919,0671027360
7224,0812575954
734,0316735736
785,0743439740
8992,0345372700
11713,0380619458
8992,0446325805
2272,0451406923
14761,0451406923
7516,0451406923
13947,0671042858
1329,0743249992
1511,0840734530
14777,0425184226
2951,0375500766
13129,9724119378
1213,0451205197
4896,0060929790
12324,0060976845
14850,0061099325
10120,0671004573
12774,0446601640
12192,0330484516
5966,038572179X
10541,0393020371
12572,1900850303
11242,1903019699
9235,0345425294
845,0451410319
8324,0553583468
3032,0380778556
11039,0451525221
8916,0451525221
11133,0002740230
8755,0385336772
9195,0440949424
14194,0505524996
1239,0140252800
13675,0451452755
6575,0812575482
12774,044651747X
1456,0060801263
2815,0061030147
203,0061030147
14084,0140250964
3102,0446527165
3807,0671461494
10145,0385337639
15352,039575514X
11302,0451206673
5703,0330332775
6542,0486284735
3839,0486284735
4767,0671021745
4767,0671047612
4767,0671504282
9018,0399138684
5854,0785263292
10672,0785263292
5473,0830714014
12087,0345354931
12268,0553278223
4842,3150000335
15242,3150000335
12268,3257203659
11916,3257203659
12283,3257207522
5543,3257207522
12268,3257208626
12268,3257208634
14654,3257208634
12268,3257208669
11226,3257208669
12268,3257210450
345,3257210450
12268,3257212054
12268,3257212429
12268,3257214154
8014,3257214154
278,3257214154
12268,3257216416
11758,3257233051
9575,3257233051
4897,342311360X
4606,3423116714
991,3423241489
8468,3426605686
9710,3426605686
14142,3453212150
12354,3462021095
10564,3492045642
5745,3492045642
5672,3492045642
7646,3498020862
1435,3498020862
6112,3499110695
900,3499110695
5679,3499110695
4154,3499110695
6112,3499151502
900,3499151502
5679,3499151502
6399,3518111000
5543,3518111000
7181,3548254268
14142,3570300099
958,3570300099
10736,3596292646
1085,0060977493
12853,0312872682
6447,0316602906
6447,0316693006
12513,0345311396
10449,0345378490
12513,0345404793
9254,0345433173
1052,0375400117
8429,0375705856
11485,0380717018
11487,0380718332
2028,0380754509
14805,0380754509
8233,038076654X
8233,0380807866
1315,0385316895
7411,0385497466
7411,0385508042
9912,0385509456
7411,0385511612
741,0385730586
4462,0425164403
4176,0440234964
6447,0446605484
11122,0446610399
7554,0449006522
9254,0449911004
13947,0451162072
14034,0451186648
14884,0452282152
7847,051513290X
10575,0553580388
4704,0590598848
11239,0590629719
11482,0671023616
2919,0671027387
4747,0684848783
2919,0743486226
9536,0786863986
9738,0803251718
873,0804117934
343,140003180X
6196,155874262X
9954,155874262X
1167,155874262X
5399,0060987103
15575,0151008116
13216,0375704965
217,0525947647
3724,0804111359
6196,1558744150
9954,1558744150
6924,1558744150
7503,0435272683
734,0316782505
14508,006102063X
14508,0060013117
14508,0060199563
3904,006052779X
4956,006052779X
6131,0060563079
10167,0060809027
14508,0061040967
11673,0061040967
14508,0061050474
14508,0061052515
14508,0061052523
9312,0064472264
6182,0140620664
8408,0312148267
1361,0312156960
2255,0312890044
9223,034543191X
11068,034543191X
5145,0373836023
11323,0375751513
6868,0375751513
14446,0375801677
634,0375801677
12629,0375814248
12124,0375814248
12000,0375823352
12000,037582345X
12000,0375823468
14142,0380730448
12268,0380973839
3709,0385327773
110,0394586239
14417,0439510112
13782,0440241413
6077,0451409256
9292,0451523415
6542,0451526279
9660,0451526279
5109,0451526341
2256,0486415864
6071,0553280589
1206,0571197639
4284,0670035262
14489,0670035262
2328,0670035262
11067,0670035262
2256,0679423079
110,0679751343
7713,0684833395
7392,0743245024
4399,0749748001
4399,0749748028
11068,0963094424
260,1401201172
8455,1401201172
1321,1401201172
11068,1563892278
13309,1563892278
10707,1563892278
9544,1563892278
260,1563898586
11068,156971620X
7301,156971620X
14921,1592571301
14826,0374270325
1680,0375719180
5859,0440235502
7411,044023722X
11761,1573225487
14610,1853260673
13490,0060977477
8058,0345391691
10083,0520011171
3878,0520011171
3110,0553278746
14360,0670856045
14363,0670856045
12094,0872200760
344,0872200760
11721,0872200760
9391,0937858994
2954,0937858994
6250,0937858994
13962,0671649949
6081,0590431110
11393,0064470113
9369,0553571486
1733,0972044205
7345,0312963009
10039,0345430476
3143,0345435869
8886,0345435869
11702,0380728729
3158,038081840X
8262,038081840X
3066,0449912302
7532,055329198X
14555,0671018930
4745,0812541642
10127,0312988699
10182,0486282112
3839,0486282112
12889,0670815373
12661,0385313748
12611,1575843366
11482,0684193957
3807,0345371984
9889,0345371984
91,0380730138
13429,1573228737
843,9681500555
1267,0380711109
5382,0452283914
14777,0425120279
615,067153484X
11088,0380728273
9677,0446606197
4026,0771076002
13595,0771076002
10889,0771088191
7429,1559703237
15409,3596214629
5805,3596214629
5585,0062770500
8635,0671847546
778,0060188731
12629,0140374248
8657,0140374248
14141,0142001740
13091,0142001740
1625,0195086295
1607,0195086295
13990,0195086295
2919,0312995423
2721,0380704587
7190,0380815923
7411,0385416342
14587,0385418493
7411,038542471X
10498,0425098109
6596,0449005410
3569,0449202631
3569,0449207544
11221,0515128554
3807,0517577402
6754,0590450875
15249,0590450875
2007,0590450875
6754,0590481371
15249,0590481371
1179,067103619X
11356,0684177730
1075,0684180200
1179,0743411269
2555,0743470389
12379,076218857X
7129,0767905938
15008,0800706544
15264,0801096677
10290,0849953014
8674,0891091963
